Artist,Hour,stage,date,id
slowthai,02:50 - 04:00,Dice FKA Ray-Ban,04.06.22,3r1XkJ7vCs8kHBSzGvPLdP
Disclosure,04:10 - 06:00,Dice FKA Ray-Ban,04.06.22,6nS5roXSAGhTGr34W6n7Et
Les Amazones d'Afrique,17:35 - 18:20,Primavera,04.06.22,6dHMq5KZ8ScqdzsCKGagdo
Jamila Woods,19:15 - 20:00,Primavera,04.06.22,4UodukR17NIQfNu5uaqm9B
Dreamcatcher,21:10 - 22:10,Primavera,04.06.22,5V1qsQHdXNm4ZEZHWvFnqQ
Idles,23:20 - 00:20,Primavera,04.06.22,75mafsNqNE1WSEVxIKuY5C
King Krule,01:45 - 02:45,Primavera,04.06.22,4wyNyxs74Ux8UIDopNjIai
Automatic,17:45 - 18:30,Pitchfork,04.06.22,3uX1tstdmFJyxW9b5mSNlU
Tim Burgess,19:25 - 20:10,Pitchfork,04.06.22,1goerABWhGQPWKhMCZeJ68
Shame,21:05 - 21:50,Pitchfork,04.06.22,4IeWU3NYBI9mISFVhzXG8f
Jawbox,22:45 - 23:30,Pitchfork,04.06.22,0Fj0cWPHOpexJCZRdSHioP
DIIV,00:25 - 01:10,Pitchfork,04.06.22,4OrizGCKhOrW6iDDJHN9xd
Caroline Polachek,02:05 - 02:55,Pitchfork,04.06.22,4Ge8xMJNwt6EEXOzVXju9a
Leon Vynehall,03:45 - 05:00,Pitchfork,04.06.22,2o7L9DNcmzocYll1o0GGTU
Biscuit,17:00 - 17:40,Adidas,04.06.22,42JGb29XOsilEvx2TVQH5H
Die Katapult,18:35 - 19:20,Adidas,04.06.22,4vAuh0ifJRTcAxGeGNULIb
Guineu,20:15 - 21:00,Adidas,04.06.22,71LogL8lYEei6YssB4RyVD
Rapsody,21:55 - 22:40,Adidas,04.06.22,6NL31G53xThQXkFs7lDpL5
Las Ligas Menores,23:35 - 00:20,Adidas,04.06.22,3MNvKeLzGSvOPtXJAjCOzf
ABBATH,01:15 - 02:00,Adidas,04.06.22,1epGwdbjU7JSGVBHlqptpx
Napalm Death,03:00 - 03:45,Adidas,04.06.22,3UqRgrDIQ208yNGiWKRMNt
Mecanica Popular,16:00 - 17:00,Auditori,04.06.22,2A0pTCoXdqG0VjhMWLArMr
"Black Country, New Road",17:30 - 18:30,Auditori,04.06.22,3PP6ghmOlDl2jaKaH0avUN
María José Llergo,19:00 - 20:00,Auditori,04.06.22,70GBRlKEGjfueop2lfdQ4Q
The Caretaker,21:00 - 22:00,Auditori,04.06.22, 5n30EjOcjTVG11vtfNKbsd
Lawrence Le Doux,23:05 - 00:25,NTS Warehouse,04.06.22,5As9k4aeJ897xlMRrFp8mE
Zozo,00:25 - 01:25,NTS Warehouse,04.06.22,11zGi8URbhNbTEtauBUnme
John T Gast,03:00 - 04:00,NTS Warehouse,04.06.22,7sdETEHtFrBJARdIVvf8Mv
DJ Harvey,02:30 - 04:00,Desperados Cube (Primavera Bits),04.06.22,4LSAINMy65w69vnT4xUq1b
Squarepusher,04:00 - 06:00,Desperados Cube (Primavera Bits),04.06.22,4mtHSXwIHihO6MWNq5Qoko
Sangre Nueva,03:30 - 04:30,El Punto by adidas Originals (Primavera Bits),04.06.22,0YmokPIhVketCTSXBRp20R
DJ Playero,04:30 - 05:30,El Punto by adidas Originals (Primavera Bits),04.06.22,2YTyoyU90b3CF5x91YjVaQ
Boy Harsher,02:40 - 03:55,Lotus (Primavera Bits),04.06.22,4iom7VVRU6AHRIu1JUXpLG
Terrence Dixon ,04:15 - 05:40,Lotus (Primavera Bits),04.06.22,78x5Xzi7CUmQZtZfFYBK9m
Stingray 313 ,15:15 - 16:30,Xiringuito Aperol (Primavera Bits),04.06.22,4ha1AL8HqVr6WY9vSOow0n
Big Thief,18:45 - 19:35,Cupra FKA Seat,09.06.22,5QdyldG4Fl4TPiOIeMNpBZ
Bad Gyal,20:45 - 21:45,Cupra FKA Seat,09.06.22,4F4pp8NUW08JuXwnoxglpN
Charli XCX,23:25 - 00:25,Cupra FKA Seat,09.06.22,25uiPmTg16RbhZWAqwLBy5
"Tyler, The Creator",01:45 - 03:00,Cupra FKA Seat,09.06.22,4V8LLVI7PbaPR0K2TGSxFF
Rata Negra,18:00 - 18:45,Pull & Bear,09.06.22,7KjdFWj7ujhSLbzWYAAgVe
Interpol,19:40 - 20:40,Pull & Bear,09.06.22,3WaJSfKnzc65VDgmj2zU8B
Gorillaz,21:50 - 23:20,Pull & Bear,09.06.22,3AA28KZvwAUcZuOKwyblJQ
Dua Lipa,00:30 - 01:40,Pull & Bear,09.06.22,6M2wZ9GZgrQXHCFfjv46we
Holly Humberstone,16:45 - 17:30,Dice FKA Ray-Ban,09.06.22,0nnYdIpahs41QiZ9MWp5Wx
Modu Moctar,18:25 - 19:10,Dice FKA Ray-Ban,09.06.22,48dgx7iGqLQ3E5KO3pzd94
Metronomy,20:05 - 20:55,Dice FKA Ray-Ban,09.06.22,54QMjE4toDfiCryzYWCpXX
El Mato a un Policia Motorizado,22:15 - 23:15,Dice FKA Ray-Ban,09.06.22,5rLsN2LxYaEPLa1N7I2mPB
King Gizzard & The Lizard Wizard,00:35 - 01:35,Dice FKA Ray-Ban,09.06.22,6XYvaoDGE0VmRt83Jss9Sn
Bicep,04:10 - 06:00,Dice FKA Ray-Ban,09.06.22,73A3bLnfnz5BoQjb4gNCga
Cazzu,17:35 - 18:20,Primavera,09.06.22,6w3SkAHYPsQ1bxV7VDlG5y
Gracey,19:15 - 20:00,Primavera,09.06.22,7xBGi7Eign0fX7jGQj5KlJ
Ride,21:00 - 22:10,Primavera,09.06.22,0WPY9nnBy01s5QOt4o4oQX
Slowdive,23:20 - 00:30,Primavera,09.06.22,72X6FHxaShda0XeQw3vbeF
Khruangbin,01:40 - 02:40,Primavera,09.06.22,2mVVjNmdjXZZDvhgQWiakk
Dry Cleaning,17:45 - 18:30,Pitchfork,09.06.22,7DlD7rLG9MKuvXtTeACzkO
Alex Cameron,19:25 - 20:10,Pitchfork,09.06.22,6kGMx9MqwnbKR2EYvZvvrG
Squid,21:05 - 21:50,Pitchfork,09.06.22,685XjGzGztyivfR3fAjoxo
Amyl & The Sniffers,22:45 - 23:30,Pitchfork,09.06.22,3NqV2DJoAWsjl787bWaHW7
Ashnikko,00:25 - 01:10,Pitchfork,09.06.22,3PyJHH2wyfQK3WZrk9rpmP
Playboi Carti,02:05 - 02:50,Pitchfork,09.06.22,699OTQXzgjhIYAHMy9RyPD
Jay Electronica,03:45 - 05:00,Pitchfork,09.06.22,0TkqXdyWLsssJH7okthMPQ
Agoraphobia,17:00 - 17:40,Adidas,09.06.22,730AxBRvtXF3V72fwbqf1R
Pile,18:35 - 19:20,Adidas,09.06.22,44pUNjqg4mExLyFHnB3Bqf
Working Men's Club,20:15 - 21:00,Adidas,09.06.22,7cCi9XoRu8Y1SyJ9c94fhc
High on Fire,21:55 - 22:40,Adidas,09.06.22,1eiIIImNeUj3vpaocWqoOf
Griff,23:40 - 00:25,Adidas,09.06.22,5RJFJWYgtgWktosLrUDzff
A.G. Cook,01:15 - 02:00,Adidas,09.06.22,335TWGWGFan4vaacJzSiU8
Mujeres,02:55 - 03:40,Adidas,09.06.22,5vnfKgHNYLnKeuFA6c2jJO
Tarta Relena,17:30 - 18:30,Auditori,09.06.22,40sPlPGgON8MBAiW4CIFTP
Jensen McRae,19:00 - 20:00,Auditori,09.06.22,11dABkjSoOjcP9p3TFSNRj
Ambarchi / Sprenger / Sollmann,21:00 - 22:00,Auditori,09.06.22,1fIzM2bmsXG77E5EMPtdKW
Anz,21:15 - 22:15,Desperados Cube (Primavera Bits),09.06.22,1Ysz8yMgr4g1Ol3l1m3yOt
Sofia Kourtessi ,23:15 - 00:15,Desperados Cube (Primavera Bits),09.06.22,7wXTWO45lqpUejDkike0Gf
Moonchild Sanelly,00:15 - 01:15,Desperados Cube (Primavera Bits),09.06.22,6aDX1jzNVAI9enlQzW0Pgw
Chill Mafia,01:15 - 02:20,Desperados Cube (Primavera Bits),09.06.22,6jlSEjqfJnED7otnU0lRoy
Future Utopia,02:20 - 04:00,Desperados Cube (Primavera Bits),09.06.22,1vlBj1Zv2y6dCNdGeIBsNo
John Talabot,04:00 - 06:00,Desperados Cube (Primavera Bits),09.06.22,1YvN5uOGQkHVUUlZUcnotD
Slikback,00:00 - 01:15,El Punto by adidas Originals (Primavera Bits),09.06.22,0NwRAG9DawUqqgur9925fA
Haai,02:00 - 02:45,El Punto by adidas Originals (Primavera Bits),09.06.22,0pkLgeB9j465x1QB2kRoy4
Prospa,02:45 - 03:30,El Punto by adidas Originals (Primavera Bits),09.06.22,6HabM2PUM519iIxervGWSb
Mall Grab,03:30 - 05:00,El Punto by adidas Originals (Primavera Bits),09.06.22,7yF6JnFPDzgml2Ytkyl5D7
Slikback,19:10 - 19:55,Lotus (Primavera Bits),09.06.22,0NwRAG9DawUqqgur9925fA
India Jordan,00:55 - 02:10,Lotus (Primavera Bits),09.06.22,5RMLpCv3ic2KtGnqJ7eMG4
Gabber Modus Operandi,02:30 - 03:30,Lotus (Primavera Bits),09.06.22,4z8y2MjTFwLa73dABYP1io
Gilles Peterson,04:00 - 05:30,Lotus (Primavera Bits),09.06.22,4fH73bVIwM24QrBqjTrhAA
Clairo,18:45 - 19:35,Cupra FKA Seat,10.06.22,3l0CmX0FuQjFxr8SK7Vqag
M.I.A.,20:45 - 21:45,Cupra FKA Seat,10.06.22,0QJIPDAEDILuo8AIq3pMuU
The Strokes,23:10 - 00:40,Cupra FKA Seat,10.06.22,0epOFNiUfyON9EYx7Tpr6V
Lorde,01:50 - 03:00,Cupra FKA Seat,10.06.22,163tK9Wjr9P9DmM0AVK7lm
Marta Knight,18:00 - 18:40,Pull & Bear,10.06.22,1bTVf9uk7d4iU9rcWfWj5S
